      Step      Potential       Kinetic        RelativeErr
         0     1221.278406        0.000000    0.000000e+00
       100     1221.117515        0.160860   -2.524229e-08
       200     1220.604150        0.674002   -2.079336e-07
       300     1219.685727        1.592013   -5.446416e-07
       400     1218.320374        2.957253   -6.377940e-07
       500     1216.578975        4.700246    6.677122e-07
       600     1214.700026        6.583536    4.222013e-06
       700     1213.093066        8.199387    1.150236e-05
       800     1212.140780        9.164059    2.164387e-05
       900     1212.039966        9.279823    3.388463e-05
      1000     1212.911036        8.423803    4.620814e-05
