      Step      Potential       Kinetic        RelativeErr
         0     1220.548119        0.000000    0.000000e+00
       100     1220.410632        0.137493    4.884371e-09
       200     1219.992518        0.555663    5.105061e-08
       300     1219.312230        1.236235    2.839115e-07
       400     1218.431430        2.118048    1.113894e-06
       500     1217.473003        3.078663    2.906238e-06
       600     1216.566333        3.988551    5.542527e-06
       700     1215.702433        4.855465    8.012141e-06
       800     1214.827972        5.734287    1.158538e-05
       900     1214.136209        6.433625    1.779122e-05
      1000     1213.942074        6.637594    2.584820e-05
