      Step      Potential       Kinetic        RelativeErr
         0     1221.926933        0.000000    0.000000e+00
       100     1221.821087        0.105842   -3.337585e-09
       200     1221.493331        0.433565   -3.083642e-08
       300     1220.937204        0.989680   -4.019692e-08
       400     1220.157441        1.769642    1.228337e-07
       500     1219.189034        2.738808    7.438097e-07
       600     1218.113527        3.816084    2.191136e-06
       700     1217.067501        4.865392    4.877474e-06
       800     1216.236902        5.701096    9.055270e-06
       900     1215.796116        6.148325    1.432769e-05
      1000     1215.766187        6.184396    1.935459e-05
