      Step      Potential       Kinetic        RelativeErr
         0     1221.951453        0.000000    0.000000e+00
       100     1221.804705        0.146722   -2.108261e-08
       200     1221.338444        0.612808   -1.644170e-07
       300     1220.515131        1.435877   -3.637917e-07
       400     1219.329914        2.621414   -1.018440e-07
       500     1217.910007        4.043599    1.762295e-06
       600     1216.590603        5.368655    6.387798e-06
       700     1215.801364        6.166642    1.354668e-05
       800     1215.784881        6.192702    2.138408e-05
       900     1216.446289        5.538671    2.742144e-05
      1000     1217.301388        4.687000    3.022629e-05
