      Step      Potential       Kinetic        RelativeErr
         0     1222.357467        0.000000    0.000000e+00
       100     1222.279280        0.078177   -7.829731e-09
       200     1222.032932        0.324450   -7.009682e-08
       300     1221.599371        0.757850   -2.017975e-07
       400     1220.957035        1.400036   -3.239536e-07
       500     1220.101137        2.256094   -1.932831e-07
       600     1219.081432        3.276918    7.223537e-07
       700     1218.035746        4.325410    3.017800e-06
       800     1217.170511        5.195461    6.958363e-06
       900     1216.676565        5.695817    1.220187e-05
      1000     1216.647515        5.732048    1.807626e-05
