      Step      Potential       Kinetic        RelativeErr
         0     1219.472315        0.000000    0.000000e+00
       100     1219.232450        0.239835   -2.397649e-08
       200     1218.478927        0.993179   -1.708844e-07
       300     1217.182250        2.289815   -2.052088e-07
       400     1215.400224        4.073142    8.623797e-07
       500     1213.428720        6.049474    4.820721e-06
       600     1211.850952        7.636900    1.274172e-05
       700     1211.231988        8.268633    2.321155e-05
       800     1211.678707        7.833455    3.267520e-05
       900     1212.703446        6.815882    3.855216e-05
      1000     1213.693480        5.829749    4.175087e-05
