      Step      Potential       Kinetic        RelativeErr
         0     1221.820772        0.000000    0.000000e+00
       100     1221.688818        0.131909   -3.648124e-08
       200     1221.254747        0.565637   -3.176445e-07
       300     1220.424469        1.395013   -1.055008e-06
       400     1219.042605        2.775398   -2.266260e-06
       500     1216.943998        4.872865   -3.199433e-06
       600     1214.079938        7.738014   -2.307616e-06
       700     1210.872927       10.955406    6.188699e-06
       800     1208.644762       13.208949    2.695969e-05
       900     1208.829398       13.057163    5.384523e-05
      1000     1211.097506       10.811020    7.182337e-05
