      Step      Potential       Kinetic        RelativeErr
         0     1220.638413        0.000000    0.000000e+00
       100     1220.445339        0.193030   -3.607508e-08
       200     1219.826109        0.811975   -2.693906e-07
       300     1218.720578        1.917167   -5.477397e-07
       400     1217.136432        3.502168    1.528672e-07
       500     1215.325535        5.317578    3.850252e-06
       600     1213.846846        6.805776    1.164085e-05
       700     1213.128580        7.535125    2.072024e-05
       800     1212.984592        7.687652    2.771549e-05
       900     1213.013399        7.665107    3.284575e-05
      1000     1212.960932        7.723441    3.765171e-05
