      Step      Potential       Kinetic        RelativeErr
         0     1221.432468        0.000000    0.000000e+00
       100     1221.271122        0.161323   -1.895413e-08
       200     1220.761274        0.670998   -1.604188e-07
       300     1219.862972        1.569016   -3.938823e-07
       400     1218.558709        2.873420   -2.772295e-07
       500     1216.918379        4.515277    9.723616e-07
       600     1215.174422        6.263582    4.532226e-06
       700     1213.575484        7.868929    9.778808e-06
       800     1212.125143        9.326236    1.548249e-05
       900     1210.593811       10.866293    2.262551e-05
      1000     1209.039299       12.435327    3.451450e-05
